continent,country,month,year,type,category_id
Asia,China,September,2003,Malware,5
North America,US,March,2005,DDoS,2
North America,US,April,2005,APT,0
North America,US,May,2006,Phishing,7
North America,US,August,2006,Malware,5
North America,US,November,2006,DDoS,2
North America,US,December,2006,SQL Injection,8
North America,US,March,2007,Malware,5
North America,US,April,2007,DDoS,2
North America,US,May,2007,Malware,5
Europe,Estonia,May,2007,DDoS,2
North America,US,June,2007,SQL Injection,8
North America,US,June,2007,DDoS,2
Europe,France,August,2007,Phishing,7
Asia,Syria,September,2007,DDoS,2
Europe,France,September,2007,Malware,5
North America,US,September,2007,Phishing,7
Europe,UK,September,2007,Malware,5
Asia,China,October,2007,Phishing,7
North America,US,October,2007,Malware,5
Europe,UK,November,2007,Man-in-the-Middle,6
North America,US,January,2008,Zero-Day Exploit,9
Asia,South Korea,March,2008,Espionage,4
North America,US,March,2008,Espionage,4
North America,US,April,2008,SQL Injection,8
Asia,Afghanistan,April,2008,Man-in-the-Middle,6
Europe,Belgium,May,2008,APT,0
Asia,India,May,2008,Phishing,7
Asia,Tibet,June,2008,Phishing,7
Europe,Republic,July,2008,SQL Injection,8
North America,America,July,2008,APT,0
Europe,Georgia,August,2008,Zero-Day Exploit,9
Asia,China,October,2008,Man-in-the-Middle,6
North America,US,November,2008,Espionage,4
Asia,UAE,November,2008,DDoS,2
Europe,Scotland,November,2008,Phishing,7
North America,US,November,2008,Espionage,4
North America,US,December,2008,Phishing,7
North America,US,December,2008,SQL Injection,8
Asia,Isreal,January,2009,DDoS,2
Asia,India,January,2009,Malware,5
North America,US,February,2009,DDoS,2
Asia,India,February,2009,Phishing,7
Europe,France,February,2009,Malware,5
North America,US,March,2009,Phishing,7
North America,Florida,March,2009,Malware,5
Europe,Germany,March,2009,Malware,5
North America,Canada,March,2009,Espionage,4
North America,US,March,2009,Phishing,7
North America,US,April,2009,SQL Injection,8
Asia,China,April,2009,APT,0
Asia,South Korea,April,2009,Malware,5
North America,US,May,2009,Phishing,7
North America,US,May,2009,Malware,5
North America,US,June,2009,DDoS,2
Europe,US,June,2009,Espionage,4
Asia,South Korea,July,2009,DDoS,2
North America,US,August,2009,Phishing,7
North America,US,August,2009,DDoS,2
Asia,Russia,November,2009,SQL Injection,8
North America,US,December,2009,Phishing,7
North America,US,December,2009,Malware,5
Europe,UK,January,2010,APT,0
North America,US,January,2010,Phishing,7
North America,US,January,2010,SQL Injection,8
Asia,India,January,2010,Zero-Day Exploit,9
Asia,China,January,2010,Malware,5
North America,US,January,2010,Malware,5
Europe,UK,March,2010,Phishing,7
Asia,Vietnam,March,2010,Phishing,7
Oceania,Australia,March,2010,Zero-Day Exploit,9
Europe,Latvia,March,2010,Phishing,7
Asia,India,April,2010,DDoS,2
Asia,China,April,2010,APT,0
North America,US,May,2010,Phishing,7
North America,Canada,May,2010,Espionage,4
North America,US,July,2010,Malware,5
North America,America,October,2010,Phishing,7
"Asia,""Iran, Indonesia"",October,2010,Malware,5"
North America,US,October,2010,Malware,5
Oceania,Australia,October,2010,Espionage,4
Europe,UK,December,2010,Malware,5
Asia,India,December,2010,Phishing,7
Europe,UK,January,2011,APT,0
Africa,South Africa,January,2011,Phishing,7
North America,Canada,January,2011,APT,0
Europe,UK,March,2011,Espionage,4
Europe,Germany,March,2011,Zero-Day Exploit,9
North America,US,March,2011,Phishing,7
North America,US,March,2011,Phishing,7
North America,US,April,2011,Phishing,7
North America,US,April,2011,Malware,5
Asia,Japan,May,2011,Phishing,7
North America,US,June,2011,Malware,5
North America,US,June,2011,Malware,5
North America,US,July,2011,DDoS,2
Europe,Germany,July,2011,DDoS,2
Asia,South Korea,July,2011,Malware,5
North America,US,August,2011,Espionage,4
Asia,Japan,August,2011,Malware,5
Asia,Japan,August,2011,Phishing,7
Europe,Germany,September,2011,Malware,5
Oceania,Australia,September,2011,DDoS,2
North America,US,September,2011,Malware,5
Asia,China,October,2011,APT,0
Asia,Azerbaijan,November,2011,Phishing,7
North America,US,November,2011,Malware,5
Europe,Norway,November,2011,Phishing,7
North America,US,December,2011,APT,0
Asia,China,February,2012,APT,0
North America,US,March,2012,Phishing,7
North America,US,March,2012,APT,0
Europe,England,March,2012,Phishing,7
Asia,India,March,2012,Espionage,4
North America,US,March,2012,APT,0
Asia,Iran,April,2012,Malware,5
Asia,Japan,April,2012,Malware,5
Europe,UK,May,2012,Espionage,4
Asia,Iran,May,2012,Espionage,4
North America,Canada,May,2012,Malware,5
Asia,China,June,2012,Phishing,7
North America,US,June,2012,Phishing,7
North America,US,June,2012,Phishing,7
North America,US,June,2012,Malware,5
Europe,London ,June,2012,Malware,5
Asia,Iran,July,2012,Malware,5
Asia,India,July,2012,Malware,5
North America,US,July,2012,Phishing,7
Asia,India,July,2012,APT,0
Asia,England,August,2012,Phishing,7
Asia,Iran,August,2012,Malware,5
North America,Canada,September,2012,DDoS,2
North America,US,September,2012,DDoS,2
Asia,Russia,October,2012,Malware,5
North America,US,December,2012,Malware,5
Asia,Afghanistan,December,2012,DDoS,2
North America,US,January,2013,APT,0
North America,US,January,2013,DoS,3
Asia,Japan,January,2013,Malware,5
North America,US,January,2013,APT,0
Europe,UK,February,2013,APT,0
North America,US,February,2013,espionage,4
Asia,South Korea,March,2013,Malware,5
Asia,North Korea,March,2013,DoS,3
Asia,India,March,2013,Phishing,7
Asia,China,March,2013,APT,0
North America,US,March,2013,Malware,5
Europe,Russia,April,2013,Malware,5
North America,US,May,2013,espionage,4
Asia,Iran,May,2013,DoS,3
Asia,UAE,May,2013,Phishing,7
Asia,Saudia,May,2013,DoS,3
Asia,Saudia,May,2013,DoS,3
Asia,Pakistan,May,2013,Zero-Day Exploit,9
North America,US,May,2013,Malware,5
Asia,Israel,May,2013,Zero-Day Exploit,9
Oceania,Austrailia,May,2013,DoS,3
Asia,China,June,2013,espionage,4
North America,US,June,2013,Phishing,7
North America,US,June,2013,DoS,3
Asia,China,August,2013,DoS,3
North America,US,August,2013,Man-in-the-Middle,6
Asia,South Korea,September,2013,DoS,3
North America,US,September,2013,Zero-Day Exploit,9
North America,US,September,2013,Malware,5
Asia,Iran,September,2013,Zero-Day Exploit,9
Europe,UK,October,2013,Phishing,7
Europe,Finland,November,2013,Man-in-the-Middle,6
Asia,Tehran,January,2014,Malware,5
Asia,India,March,2014,APT,0
North America,US,April,2014,espionage,4
North America,US,May,2014,DoS,3
North America,US,May,2014,Phishing,7
North America,Canada,July,2014,espionage,4
North America,US,July,2014,Man-in-the-Middle,6
North America,US,July,2014,espionage,4
Europe,Spain,July,2014,espionage,4
Europe,France,July,2014,espionage,4
Europe,Italy,July,2014,espionage,4
Europe,UK,July,2014,espionage,4
Europe,Turkey,July,2014,espionage,4
Europe,Poland,July,2014,espionage,4
North America,US,August,2014,Malware,5
North America,US,August,2014,DoS,3
North America,Canada,September,2014,Phishing,7
Europe,UK,September,2014,espionage,4
Asia,China,September,2014,Malware,5
Oceania,Austrailia,October,2014,Man-in-the-Middle,6
Europe,Russia,October,2014,Zero-Day Exploit,9
North America,US,October,2014,Zero-Day Exploit,9
Asia,China,October,2014,Malware,5
North America,US,October,2014,DoS,3
North America,US,October,2014,Man-in-the-Middle,6
North America,US,October,2014,espionage,4
North America,Canada,November,2014,Malware,5
Europe,UK,November,2014,Phishing,7
Asia,India,November,2014,Malware,5
North America,US,December,2014,Phishing,7
